element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,3,,2386.000,,3.66E+06,C,350298.38,392209.53,2s.2p2.(4P).3s,3P,2,2s2.2p.(2P*).5s,3P*,2,,T5376LS,,
O,3,,2387.016,,1.62E+06,C,350024.49,391917.80,2s.2p2.(4P).3s,3P,0,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,3,2391.17,2391.161,200bl,1.62E+08,C,290958.25,332778.94,2s2.2p.(2P*).3p,1P,1,2s2.2p.(2P*).3d,1P*,1,,"T5376,T5791",L3492,
O,3,,2392.725,,1.21E+06,D,350124.45,391917.80,2s.2p2.(4P).3s,3P,1,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,3,2395.06,,80,,,,,,,,,,,,,L3492,
O,3,,2397.719,,4.81E+06,C,350124.45,391830.76,2s.2p2.(4P).3s,3P,1,2s2.2p.(2P*).5s,3P*,0,,T5376LS,,
O,2,2399.632,2399.636,2,1.97E+06,D,214169.920,255842.91,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).4d,2D,3/2,,T5723LS,L10621,
O,2,2399.919,2399.928,7,2.37E+06,D,214229.671,255897.59,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).4d,2D,5/2,,T5723LS,L10621,
O,3,,2402.724,,1.99E+06,C,350298.38,391917.80,2s.2p2.(4P).3s,3P,2,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,2,2403.087,2403.081,3,3.93E+05,E,214229.671,255842.91,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).4d,2D,3/2,,T5723LS,L10621,
O,2,2407.123,2407.108,14,1.85E+07,C+,206971.68,248515.30,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).4p,2P*,3/2,,T5723LS,L10621,
O,2,,2407.169,,2.06E+06,C+,206972.72,248515.30,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).4p,2P*,3/2,,T5723LS,L11267,
O,2,,2408.089,,1.67E+06,D,211522.117,253048.82,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(1D).3d,2D,5/2,,T5723LS,L11267,
O,2,2408.202,2408.210,13,2.25E+07,D,211522.117,253046.74,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(1D).3d,2D,3/2,,T5723LS,L10621,
O,2,2412.355,2412.330,7*,2.05E+07,C+,206972.72,248426.41,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).4p,2P*,1/2,,T5723LS,L10621,
O,2,2412.355,2412.378,7*,1.1E+07,D,214169.920,255622.80,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(1D).3d,2S,1/2,,T5723LS,L10621,
O,2,2415.855,2415.860,6,2.2E+07,D,214229.671,255622.80,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1D).3d,2S,1/2,,T5723LS,L10621,
O,1,,2418.148,,2.98E+05,D,88630.587,129984.553,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<3/2>).4d,3P*,0,,T5713LS,,
O,1,,2418.450,,7.45E+04,D,88630.587,129979.384,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<3/2>).4d,3P*,1,,T5713LS,,
O,1,,2418.483,,1.24E+05,D,88631.146,129979.384,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2D*<3/2>).4d,3P*,1,,T5713LS,,
O,1,,2418.492,,9.93E+04,D,88631.303,129979.384,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2D*<3/2>).4d,3P*,1,,T5713LS,,
O,1,,2418.999,,7.44E+04,D,88630.587,129970.000,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<3/2>).4d,3P*,2,,T5713LS,,
O,1,,2419.032,,2.23E+05,C,88631.146,129970.000,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2D*<3/2>).4d,3P*,2,,T5713LS,,
O,2,2419.194,2419.194,14,2.3E+07,D,211712.732,253048.82,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(1D).3d,2D,5/2,,T5723LS,L10621,
O,2,,2419.315,,2.47E+06,D,211712.732,253046.74,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(1D).3d,2D,3/2,,T5723LS,L11267,
O,3,,2421.26,,3.37E+06,C+,398139.92,439440.8,2s.2p2.(4P).3d,5D,2,2s.2p2.(4P).4p,5P*,3,,T5376LS,,
O,3,,2421.87,,2.36E+07,C+,398150.40,439440.8,2s.2p2.(4P).3d,5D,3,2s.2p2.(4P).4p,5P*,3,,T5376LS,,
O,4,,2422.05,,7.9E+04,C+,510744.9,552032.3,2s.2p.(3P*).3d,2F*,5/2,2s2.5d,2D,5/2,,T5109LS,,
O,4,,2422.20,,1.66E+06,B,510744.9,552029.6,2s.2p.(3P*).3d,2F*,5/2,2s2.5d,2D,3/2,,T5109LS,,
O,3,2423.58,,80,,,,,,,,,,,,,L3492,
O,2,2426.300,2426.303,15,1.77E+07,C+,206971.68,248186.64,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).4p,2D*,5/2,,T5723LS,L10621,
O,2,,2426.365,,1.27E+06,C+,206972.72,248186.64,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).4p,2D*,5/2,,T5723LS,L11267,
O,3,,2426.64,,9.05E+07,C+,398231.48,439440.8,2s.2p2.(4P).3d,5D,4,2s.2p2.(4P).4p,5P*,3,,T5376LS,,
O,3,,2427.04,,4.1E+07,C+,398139.92,439342.3,2s.2p2.(4P).3d,5D,2,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2427.30,,1.05E+07,C+,398144.29,439342.3,2s.2p2.(4P).3d,5D,1,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2427.66,,6.56E+07,C+,398150.40,439342.3,2s.2p2.(4P).3d,5D,3,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2430.09,,4.09E+07,C+,398139.92,439290.6,2s.2p2.(4P).3d,5D,2,2s.2p2.(4P).4p,5P*,1,,T5376LS,,
O,3,,2430.35,,5.25E+07,C+,398144.29,439290.6,2s.2p2.(4P).3d,5D,1,2s.2p2.(4P).4p,5P*,1,,T5376LS,,
O,3,,2430.43,,2.33E+07,C+,398145.63,439290.6,2s.2p2.(4P).3d,5D,0,2s.2p2.(4P).4p,5P*,1,,T5376LS,,
O,2,2432.390,2432.379,5,8.1E+06,D,214169.920,255281.93,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).4d,2P,1/2,,T5723LS,L10621,
O,1,,2432.73,,3.71E+05,C,88630.587,129736.6,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<3/2>).4d,3S*,1,,T5803,,
O,1,,2432.77,,6.19E+05,C,88631.146,129736.6,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2D*<3/2>).4d,3S*,1,,T5803,,
O,1,,2432.78,,1.23E+05,D,88631.303,129736.6,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2D*<3/2>).4d,3S*,1,,T5803,,
O,2,2434.272,2434.281,20,4.21E+07,B,188888.543,229968.44,2s2.2p2.(3P).3s,2P,1/2,2s2.2p2.(1D).3p,2D*,3/2,,T6172n,L10621,
O,1,,2434.72,,1.28E+05,D,88630.587,129703.0,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<5/2>).4d,3D*,1,,T5803,,
O,1,,2434.77,,1.7E+05,C,88631.303,129703.0,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2D*<5/2>).4d,3D*,1,,T5803,,
O,1,,2435.05,,2.32E+05,C,88630.587,129697.5,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2D*<5/2>).4d,3D*,2,,T5803,,
O,1,,2435.08,,7.7E+04,D,88631.146,129697.5,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2D*<5/2>).4d,3D*,2,,T5803,,
O,1,,2435.39,,3.13E+05,C,88631.146,129692.3,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2D*<5/2>).4d,3D*,3,,T5803,,
O,3,,2435.657,,1.36E+07,C+,329469.80,370526.49,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3P,2,,T5376LS,,
O,4,,2435.75,,1.55E+06,B,510977.2,552032.3,2s.2p.(3P*).3d,2F*,7/2,2s2.5d,2D,5/2,,T5109LS,,
O,2,2435.928,2435.920,2,4.03E+06,D,214229.671,255281.93,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).4d,2P,1/2,,T5723LS,L10621,
O,2,,2436.733,,1.88E+06,C+,206971.68,248010.23,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).4p,2D*,3/2,,T5723LS,L11267,
O,2,2436.790,2436.795,14,1.69E+07,C+,206972.72,248010.23,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).4p,2D*,3/2,,T5723LS,L10621,
O,2,2438.805,2438.807,2,2.01E+06,D,214169.920,255173.58,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).4d,2P,3/2,,T5723LS,L10621,
O,3,2439.57,2439.553,80bl,1.4E+08,B,324735.65,365726.76,2s2.2p.(2P*).3d,1D*,2,2s2.2p.(2P*).4p,1P,1,,T5376,L3492,
O,3,,2441.78,,4.84E+07,C+,398487.08,439440.8,2s.2p2.(4P).3d,5P,3,2s.2p2.(4P).4p,5P*,3,,T5376LS,,
O,3,,2442.091,,7.5E+06,C+,329469.80,370418.32,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3P,1,,T5376LS,,
O,2,2442.366,2442.366,8,1E+07,D,214229.671,255173.58,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).4d,2P,3/2,,T5723LS,L10621,
O,3,,2442.444,,4.5E+06,C+,329583.89,370526.49,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3P,2,,T5376LS,,
O,2,2444.989,2444.992,16,7.56E+06,B,189068.514,229968.44,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(1D).3p,2D*,3/2,,T6172n,L10621,
O,3,,2445.97,,2.41E+07,C+,398557.17,439440.8,2s.2p2.(4P).3d,5P,2,2s.2p2.(4P).4p,5P*,3,,T5376LS,,
O,2,2446.279,2446.270,22,4.98E+07,B,189068.514,229947.07,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(1D).3p,2D*,5/2,,T6172n,L10621,
O,3,,2447.67,,3.36E+07,C+,398487.08,439342.3,2s.2p2.(4P).3d,5P,3,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2448.914,,4.46E+06,C+,329583.89,370418.32,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3P,1,,T5376LS,,
O,7,,2449.72,,2.514E+07,AA,4588380.0,4629201.0,1s.2s,1S,0,1s.2p,1P*,1,,T5997,,
O,4,2450.114,,200,,,,,,,,,,,,,L648,
O,4,2450.782,,200,,,,,,,,,,,,,L648,
O,3,,2451.87,,5.97E+06,C+,398557.17,439342.3,2s.2p2.(4P).3d,5P,2,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2452.593,,5.92E+06,C+,329645.14,370418.32,2s2.2p.(2P*).3d,3P*,0,2s2.2p.(2P*).4p,3P,1,,T5376LS,,
O,3,,2454.19,,3.21E+07,C+,398595.65,439342.3,2s.2p2.(4P).3d,5P,1,2s.2p2.(4P).4p,5P*,2,,T5376LS,,
O,3,,2454.271,,1.77E+07,C+,329583.89,370329.18,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3P,0,,T5376LS,,
O,3,,2454.99,,5.35E+07,C+,398557.17,439290.6,2s.2p2.(4P).3d,5P,2,2s.2p2.(4P).4p,5P*,1,,T5376LS,,
O,3,2455.73,2455.709,200,3.43E+08,B,273081.33,313802.77,2s2.2p.(2P*).3s,1P*,1,2s2.2p.(2P*).3p,1S,0,,"T5376,T5791,u24",L3492,
O,3,,2457.31,,1.78E+07,C+,398595.65,439290.6,2s.2p2.(4P).3d,5P,1,2s.2p2.(4P).4p,5P*,1,,T5376LS,,
O,4,,2467.67,,1.09E+07,C+,547326,587850.0,2s.2p.(1P*).3p,2D,3/2,2s2.7f,2F*,5/2,,T5109LS,,
O,4,,2469.44,,1.17E+07,C+,547355,587850.0,2s.2p.(1P*).3p,2D,5/2,2s2.7f,2F*,7/2,,T5109LS,,
O,4,,2469.44,,7.79E+05,C+,547355,587850.0,2s.2p.(1P*).3p,2D,5/2,2s2.7f,2F*,5/2,,T5109LS,,
O,2,,2470.966,,3.72E-07,D,0.00,40470.00,2s2.2p3,4S*,3/2,2s2.2p3,2P*,1/2,E2,"T5047,T4644",,
O,2,,2470.966,,2.12E-02,C+,0.00,40470.00,2s2.2p3,4S*,3/2,2s2.2p3,2P*,1/2,M1,"T5047,T4644",L11267,
O,2,,2471.088,,2.43E-07,C+,0.00,40468.01,2s2.2p3,4S*,3/2,2s2.2p3,2P*,3/2,E2,"T5047,T4644",,
O,2,,2471.088,,5.22E-02,C+,0.00,40468.01,2s2.2p3,4S*,3/2,2s2.2p3,2P*,3/2,M1,"T5047,T4644",L11267,
O,4,,2483.98,,4.43E+07,B,575202,615460,2s.2p.(3P*).4p,2P,1/2,2p2.(3P).3p,2D*,3/2,,T5109LS,,
O,4,,2484.87,,3.86E+07,B,514220.4,554464,2s.2p.(3P*).3d,2P*,3/2,2s.2p.(1P*).3p,2S,1/2,,T5109LS,,
O,4,,2494.14,,1.18E+08,B,438849.0,478942.9,2s.2p.(3P*).3s,4P*,1/2,2s.2p.(3P*).3p,4P,3/2,,T5109LS,,
O,4,2494.19,2494.22,200,1.91E+07,B,514371.3,554464,2s.2p.(3P*).3d,2P*,1/2,2s.2p.(1P*).3p,2S,1/2,,T5109LS,L648,
O,4,2494.52,2494.51,200,8.48E+07,B,438983.9,479072.0,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,5/2,,T5109LS,L648,
O,4,,2494.70,,8.75E+06,B,575375,615460,2s.2p.(3P*).4p,2P,3/2,2p2.(3P).3p,2D*,3/2,,T5109LS,,
O,4,,2494.74,,6.09E+07,B,452806.6,492890.9,2s.2p.(3P*).3s,2P*,1/2,2s.2p.(3P*).3p,2S,1/2,,T5109LS,,
O,4,,2496.50,,5.24E+07,B,575375,615431,2s.2p.(3P*).4p,2P,3/2,2p2.(3P).3p,2D*,5/2,,T5109LS,,
O,3,,2496.784,,4.74E-03,C,20273.27,60324.79,2s2.2p2,1D,2,2s.2p3,5S*,2,,T4899c94,,
O,4,,2498.25,,5.33E+07,B,576853,616881,2p2.(3P).3s,4P,1/2,2p2.(3P).3p,4S*,3/2,,T5109LS,,
O,4,,2500.03,,4.68E+07,B,438849.0,478848.6,2s.2p.(3P*).3s,4P*,1/2,2s.2p.(3P*).3p,4P,1/2,,T5109LS,,
O,4,,2502.57,,3.73E+07,B,438983.9,478942.9,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,3/2,,T5109LS,,
O,4,,2507.27,,1.05E+08,B,576997,616881,2p2.(3P).3s,4P,3/2,2p2.(3P).3p,4S*,3/2,,T5109LS,,
O,4,2508.49,2508.48,200,2.32E+08,B,438983.9,478848.6,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,1/2,,T5109LS,L648,
O,4,2509.95,2509.97,230,1.94E+08,B,439230.9,479072.0,2s.2p.(3P*).3s,4P*,5/2,2s.2p.(3P*).3p,4P,5/2,,T5109LS,L648,
O,4,,2511.34,,1.19E+08,B,453071.5,492890.9,2s.2p.(3P*).3s,2P*,3/2,2s.2p.(3P*).3p,2S,1/2,,T5109LS,,
O,4,2518.0,2518.13,200,1.24E+08,B,439230.9,478942.9,2s.2p.(3P*).3s,4P*,5/2,2s.2p.(3P*).3p,4P,3/2,,T5109LS,L648,
O,2,2518.732,2518.722,12,7.72E+06,D,211522.117,251224.79,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(1D).3d,2F,5/2,,T5723LS,L10621,
O,4,,2520.67,,1.56E+08,B,577209,616881,2p2.(3P).3s,4P,5/2,2p2.(3P).3p,4S*,3/2,,T5109LS,,
O,2,,2523.820,,2.41E+06,D,214169.920,253792.40,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(1D).3d,2P,3/2,,T5723LS,L11267,
O,2,2523.971,2523.973,7,9.63E+06,D,214169.920,253789.99,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(1D).3d,2P,1/2,,T5723LS,L10621,
O,2,2527.629,2527.631,11,1.2E+07,D,214229.671,253792.40,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1D).3d,2P,3/2,,T5723LS,L10621,
O,2,,2527.785,,4.79E+06,D,214229.671,253789.99,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1D).3d,2P,1/2,,T5723LS,L11267,
O,3,,2530.088,,3.01E+06,C+,327278.30,366802.62,2s2.2p.(2P*).3d,3D*,2,2s2.2p.(2P*).4p,3D,3,,T5376LS,,
O,2,,2530.873,,5.44E+05,D,211712.732,251224.79,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(1D).3d,2F,5/2,,T5723LS,L11267,
O,2,2531.035,2531.040,13,8.16E+06,D,211712.732,251222.19,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(1D).3d,2F,7/2,,T5723LS,L10621,
O,3,,2534.825,,2.39E+07,C+,327352.17,366802.62,2s2.2p.(2P*).3d,3D*,3,2s2.2p.(2P*).4p,3D,3,,T5376LS,,
O,4,,2539.81,,1.77E+08,B,499994.9,539368,2s2.4p,2P*,1/2,2s2.5s,2S,1/2,,T5109LS,,
O,3,,2540.230,,4.01E+06,C+,327229.25,366595.76,2s2.2p.(2P*).3d,3D*,1,2s2.2p.(2P*).4p,3D,2,,T5376LS,,
O,4,,2542.58,,3.53E+08,B,500037.8,539368,2s2.4p,2P*,3/2,2s2.5s,2S,1/2,,T5109LS,,
O,3,,2543.399,,1.85E+07,C+,327278.30,366595.76,2s2.2p.(2P*).3d,3D*,2,2s2.2p.(2P*).4p,3D,2,,T5376LS,,
O,3,,2547.174,,1.99E+07,C+,327229.25,366488.45,2s2.2p.(2P*).3d,3D*,1,2s2.2p.(2P*).4p,3D,1,,T5376LS,,
O,3,,2548.187,,4.13E+06,C+,327352.17,366595.76,2s2.2p.(2P*).3d,3D*,3,2s2.2p.(2P*).4p,3D,2,,T5376LS,,
O,3,,2550.360,,6.6E+06,C+,327278.30,366488.45,2s2.2p.(2P*).3d,3D*,2,2s2.2p.(2P*).4p,3D,1,,T5376LS,,
O,3,,2550.437,,3.69E+04,C,267377.11,306586.08,2s2.2p.(2P*).3s,3P*,1,2s2.2p.(2P*).3p,1D,2,,u24,,
O,3,2558.83,2558.803,200,1.38E+08,B,331821.44,370902.22,2s2.2p.(2P*).3d,1F*,3,2s2.2p.(2P*).4p,1D,2,,T5376,L3492,
O,7,,2560.16,,1.09E+08,A,5813680.0,5852740.0,1s.6d,1D,2,1s.7p,1P*,1,,T5231,,
O,4,,2566.08,,7.86E+06,B,593627,632597,2s.2p.(3P*).4d,2D*,3/2,2p2.(3P).3d,2P,1/2,,T5109LS,,
O,3,,2567.257,,2.39E+04,C,267634.00,306586.08,2s2.2p.(2P*).3s,3P*,2,2s2.2p.(2P*).3p,1D,2,,u24,,
O,2,2572.224,2572.227,11,1.15E+07,D,214169.920,253046.74,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(1D).3d,2D,3/2,,T5723LS,L10621,
O,4,,2574.33,,8.9E+05,C+,513187.2,552032.3,2s2.4f,2F*,5/2,2s2.5d,2D,5/2,,T5109LS,,
O,4,,2574.51,,1.87E+07,C+,513187.2,552029.6,2s2.4f,2F*,5/2,2s2.5d,2D,3/2,,T5109LS,,
O,4,,2575.06,,1.78E+07,C+,513198.3,552032.3,2s2.4f,2F*,7/2,2s2.5d,2D,5/2,,T5109LS,,
O,2,2576.042,2576.048,13,1.37E+07,D,214229.671,253048.82,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,5/2,,T5723LS,L10621,
O,2,,2576.186,,2.29E+06,D,214229.671,253046.74,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,3/2,,T5723LS,L11267,
O,4,,2577.39,,7.75E+05,B,593627,632426,2s.2p.(3P*).4d,2D*,3/2,2p2.(3P).3d,2P,3/2,,T5109LS,,
O,4,,2582.78,,6.94E+06,B,593708,632426,2s.2p.(3P*).4d,2D*,5/2,2p2.(3P).3d,2P,3/2,,T5109LS,,
O,3,,2598.476,,1.2E+08,C+,329469.80,367953.90,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3S,1,,T5376LS,,
O,3,,2606.202,,7.14E+07,C+,329583.89,367953.90,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3S,1,,T5376LS,,
O,3,,2610.369,,2.37E+07,C+,329645.14,367953.90,2s2.2p.(2P*).3d,3P*,0,2s2.2p.(2P*).4p,3S,1,,T5376LS,,
O,1,,2612.23,,1.48E+05,C,99681.049,137962.5,2s2.2p3.(4S*).4p,3P,2,2s2.2p3.(2P*).3d,3D*,3,,T5803,,
O,1,,2612.23,,7.1E+04,D,99681.049,137962.5,2s2.2p3.(4S*).4p,3P,2,2s2.2p3.(2P*).3d,3D*,2,,T5803,,
O,1,,2612.23,,1.08E+05,D,99680.968,137962.5,2s2.2p3.(4S*).4p,3P,1,2s2.2p3.(2P*).3d,3D*,2,,T5803,,
O,1,,2612.23,,9.57E+04,D,99680.968,137962.5,2s2.2p3.(4S*).4p,3P,1,2s2.2p3.(2P*).3d,3D*,1,,T5803,,
O,1,,2612.25,,9E+04,D,99681.309,137962.5,2s2.2p3.(4S*).4p,3P,0,2s2.2p3.(2P*).3d,3D*,1,,T5803,,
O,4,,2618.35,,1.64E+07,C+,596331,634523,2s.2p.(3P*).4f,4D,7/2,2s.2p.(3P*).5d,4P*,5/2,,T5109LS,,
O,4,,2619.31,,1.29E+07,C+,596444,634622,2s.2p.(3P*).4f,4D,5/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,,
O,4,,2621.88,,1.02E+07,C+,596512.4,634653,2s.2p.(3P*).4f,4D,3/2,2s.2p.(3P*).5d,4P*,1/2,,T5109LS,,
O,3,,2623.069,,1.21E+07,B,332778.94,370902.22,2s2.2p.(2P*).3d,1P*,1,2s2.2p.(2P*).4p,1D,2,,T5376,,
O,4,,2624.01,,6.53E+06,C+,596512.4,634622,2s.2p.(3P*).4f,4D,3/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,,
O,4,,2625.58,,1.02E+07,C+,596566.2,634653,2s.2p.(3P*).4f,4D,1/2,2s.2p.(3P*).5d,4P*,1/2,,T5109LS,,
O,4,,2626.12,,3.66E+06,C+,596444,634523,2s.2p.(3P*).4f,4D,5/2,2s.2p.(3P*).5d,4P*,5/2,,T5109LS,,
O,4,,2627.72,,1.02E+06,C+,596566.2,634622,2s.2p.(3P*).4f,4D,1/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,,
O,4,,2630.85,,4.05E+05,C,596512.4,634523,2s.2p.(3P*).4f,4D,3/2,2s.2p.(3P*).5d,4P*,5/2,,T5109LS,,
O,4,,2638.94,,5.03E+06,C+,594019,631913,2s.2p.(3P*).4f,2F,5/2,2p2.(1D).3p,2D*,3/2,,T5109LS,,
O,4,,2644.67,,1.65E+06,B,514220.4,552032.3,2s.2p.(3P*).3d,2P*,3/2,2s2.5d,2D,5/2,,T5109LS,,
O,4,,2644.86,,2.75E+05,B,514220.4,552029.6,2s.2p.(3P*).3d,2P*,3/2,2s2.5d,2D,3/2,,T5109LS,,
O,4,,2655.46,,1.36E+06,B,514371.3,552029.6,2s.2p.(3P*).3d,2P*,1/2,2s2.5d,2D,3/2,,T5109LS,,
O,4,,2661.49,,1.18E+06,B,594340,631913,2p2.(3P).3s,2P,1/2,2p2.(1D).3p,2D*,3/2,,T5109LS,,
O,3,,2666.477,,6.75E+07,C+,338577.25,376079.92,2s.2p2.(4P).3s,5P,1,2s.2p2.(4P).3p,5S*,2,,T5376LS,,
O,3,,2675.375,,1.11E+08,C+,338701.98,376079.92,2s.2p2.(4P).3s,5P,2,2s.2p2.(4P).3p,5S*,2,,T5376LS,,
O,4,,2675.59,,2.31E+05,C+,594538,631913,2p2.(3P).3s,2P,3/2,2p2.(1D).3p,2D*,3/2,,T5109LS,,
O,3,,2678.608,,9.66E+06,C+,329469.80,366802.62,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3D,3,,T5376LS,,
O,3,,2684.455,,1.85E+08,C+,363263.38,400514.89,2s.2p2.(4P).3p,3S*,1,2s.2p2.(4P).3d,3P,0,,T5376LS,,
O,3,,2686.952,,1.54E+08,C+,338863.03,376079.92,2s.2p2.(4P).3s,5P,3,2s.2p2.(4P).3p,5S*,2,,T5376LS,,
O,3,2688.33,2688.345,80,1.84E+08,C+,363263.38,400460.99,2s.2p2.(4P).3p,3S*,1,2s.2p2.(4P).3d,3P,1,,T5376LS,L3492,
O,3,,2693.533,,2.38E+06,C+,329469.80,366595.76,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3D,2,,T5376LS,,
O,5,,2696.10,,2.58E+08,C+,808616.1,845706.7,1s2.2s.5f,3F*,4,1s2.2p.(2P*<3/2>).4f,3G,5,,T5633LS,,
O,3,2696.29,2696.277,110,1.82E+08,C+,363263.38,400351.56,2s.2p2.(4P).3p,3S*,1,2s.2p2.(4P).3d,3P,2,,T5376LS,L3492,
O,5,,2700.82,,2.6E+08,B,808916.8,845942.6,1s2.2s.5f,1F*,3,1s2.2p.(2P*<3/2>).4f,1G,4,,T5633,,
O,3,,2701.341,,2.62E+05,C,329469.80,366488.45,2s2.2p.(2P*).3d,3P*,2,2s2.2p.(2P*).4p,3D,1,,T5376LS,,
O,3,,2701.836,,7.06E+06,C+,329583.89,366595.76,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3D,2,,T5376LS,,
O,5,,2707.62,,2.38E+08,C+,808613.9,845546.7,1s2.2s.5f,3F*,3,1s2.2p.(2P*<1/2>).4f,3G,4,,T5633LS,,
O,5,,2707.78,,1.59E+07,C+,808616.1,845546.7,1s2.2s.5f,3F*,4,1s2.2p.(2P*<1/2>).4f,3G,4,,T5633LS,,
O,3,,2709.692,,3.89E+06,C+,329583.89,366488.45,2s2.2p.(2P*).3d,3P*,1,2s2.2p.(2P*).4p,3D,1,,T5376LS,,
O,5,,2712.34,,2.32E+08,C+,808613.0,845481.6,1s2.2s.5f,3F*,2,1s2.2p.(2P*<1/2>).4f,3G,3,,T5633LS,,
O,5,,2712.40,,2.03E+07,C+,808613.9,845481.6,1s2.2s.5f,3F*,3,1s2.2p.(2P*<1/2>).4f,3G,3,,T5633LS,,
O,5,,2712.56,,3.1E+05,C,808616.1,845481.6,1s2.2s.5f,3F*,4,1s2.2p.(2P*<1/2>).4f,3G,3,,T5633LS,,
O,3,,2714.197,,5.16E+06,C+,329645.14,366488.45,2s2.2p.(2P*).3d,3P*,0,2s2.2p.(2P*).4p,3D,1,,T5376LS,,
O,2,2716.170,2716.165,8,1.24E+06,C,195710.47,232527.09,2s.2p4,2S,1/2,2s2.2p2.(1D).3p,2P*,3/2,,T6172n,L10621,
