element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,5,,128.303,,9.13E+08,C+,82385.3,861793.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,2,,T5633LS,,
O,5,,128.305,,1.01E+08,D,82385.3,861778.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,1,,T5633LS,,
O,7,,128.411,,8.982E+10,AA,4585620.0,5364370.0,1s.2p,3P*,0,1s.3d,3D,1,,T5997LS,,
O,7,,128.411,,1.213E+11,AA,4585680.0,5364430.0,1s.2p,3P*,1,1s.3d,3D,2,,T5997LS,,
O,7,,128.421,,6.735E+10,AA,4585680.0,5364370.0,1s.2p,3P*,1,1s.3d,3D,1,,T5997LS,,
O,7,,128.500,,1.613E+11,AA,4586230.0,5364440.0,1s.2p,3P*,2,1s.3d,3D,3,,T5997LS,,
O,7,,128.502,,4.033E+10,AA,4586230.0,5364430.0,1s.2p,3P*,2,1s.3d,3D,2,,T5997LS,,
O,7,,128.512,,4.481E+09,AA,4586230.0,5364370.0,1s.2p,3P*,2,1s.3d,3D,1,,T5997LS,,
O,7,,128.685,,6.719E+06,AA,4588380.0,5365470.0,1s.2s,1S,0,1s.3d,1D,2,E2,T3908,,
O,5,,128.817,,2.12E+09,D,158797.7,935093.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).6p,1P,1,,T5633,,
O,6,,129.785,,2.43E+10,A,96375.0,866880.1,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,,T5118LS,,
O,6,,129.871,,2.91E+10,A,96907.5,866901.5,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T5118LS,,
O,6,,129.875,,4.85E+09,A,96907.5,866880.1,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,,T5118LS,,
O,5,,131.737,,3.08E+09,B,81942.5,841033.0,1s2.2s.2p,3P*,0,1s2.2s.6d,3D,1,,T5633LS,,
O,5,,131.760,,4.16E+09,B,82078.6,841033.0,1s2.2s.2p,3P*,1,1s2.2s.6d,3D,2,,T5633LS,,
O,5,,131.760,,2.31E+09,C+,82078.6,841033.0,1s2.2s.2p,3P*,1,1s2.2s.6d,3D,1,,T5633LS,,
O,5,,131.813,,5.54E+09,B,82385.3,841036.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,3,,T5633LS,,
O,5,,131.813,,1.38E+09,C+,82385.3,841033.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,2,,T5633LS,,
O,5,,131.813,,1.54E+08,D,82385.3,841033.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,1,,T5633LS,,
O,6,,132.219,,2.18E+09,B+,96375.0,852696,1s2.2p,2P*,1/2,1s2.4s,2S,1/2,,T5118LS,,
O,6,,132.312,,4.34E+09,B+,96907.5,852696,1s2.2p,2P*,3/2,1s2.4s,2S,1/2,,T5118LS,,
O,7,,132.767,,2.505E+09,AA,4585620.0,5338820.0,1s.2p,3P*,0,1s.3s,3S,1,,T5997LS,,
O,7,,132.777,,7.512E+09,AA,4585680.0,5338820.0,1s.2p,3P*,1,1s.3s,3S,1,,T5997LS,,
O,5,,132.791,,1.66E+09,C+,82078.6,835142.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,2,,T5633LS,,
O,5,,132.797,,2.22E+09,C+,81942.5,834972.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,,
O,5,,132.821,,1.66E+09,C+,82078.6,834972.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,,
O,5,,132.845,,6.65E+09,C+,82078.6,834835.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,0,,T5633LS,,
O,5,,132.845,,4.98E+09,B,82385.3,835142.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3P,2,,T5633LS,,
O,7,,132.874,,1.249E+10,AA,4586230.0,5338820.0,1s.2p,3P*,2,1s.3s,3S,1,,T5997LS,,
O,5,,132.875,,2.77E+09,C+,82385.3,834972.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,,
O,5,,133.310,,8.33E+08,C,81942.5,832072.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,,
O,5,,133.335,,2.5E+09,C+,82078.6,832072.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,,
O,5,,133.389,,4.16E+09,B,82385.3,832072.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,,
O,5,,133.520,,3.56E+09,B,82078.6,831029.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).4p,3D,2,,T5633LS,,
O,5,,133.520,,4.74E+09,B,82385.3,831334.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3D,3,,T5633LS,,
O,5,,133.525,,2.64E+09,C+,81942.5,830867.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,,
O,5,,133.549,,1.98E+09,C+,82078.6,830867.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,,
O,5,,133.575,,1.18E+09,C+,82385.3,831029.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<1/2>).4p,3D,2,,T5633LS,,
