element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,2844.6317,0.0017,2844.63386,0.00018,115,,,19552.478,54706.387,3d6.4s2,a 3P2,1,3d7.(4F).5p,3F*,2,,,L11631,
Fe,1,2844.7570,0.0022,2844.75638,0.00011,560bl,2.73E+05,C+,704.007,35856.402,3d6.4s2,a 5D,2,3d7.(4F).4p,z 5G*,2,,T5720,L11631,
Fe,2,2844.7574,0.0005,2844.75905,0.00013,6000bl(Fe I),4.4E+06,D+,62962.215,98114.577,3d6.(3P2).4p,y 4D*,3/2,3d6.(3P2).5s,4P,3/2,,T6892c83,L18349c148,
Fe,1,2844.8122,0.0002,2844.81246,0.00011,15800,3.17E+07,B+,7985.785,43137.487,3d7.(4F).4s,a 5F,2,3d6.(3H).4s.4p.(3P*),y 5G*,3,,T5720,L11631,
Fe,2,2844.930,0.005,2844.91921,0.00016,80d,,,79243.462,114393.845,3d6.(1D2).4p,w 2P*,3/2,3d6.(5D).6d,114393,3/2,,,L18349c143,
Fe,1,2844.977,0.003,2844.98372,0.00018,-2,,,20641.110,55790.696,3d6.4s2,b 3F2,4,3d6.(1G2).4s.4p.(3P*),s 3G*,3,,,L11631c81,
Fe,2,2845.044,0.005,2845.03528,0.00012,90,,,78237.709,113386.658,3d6.(5D).5s,e 6D,7/2,3d6.(5D<3>).5f,2[5]*,9/2,,,L18349c142,
Fe,1,2845.115,0.003,2845.10878,0.00011,0d?,,,21999.130,57147.171,3d7.(2G).4s,a 3G,4,3d6.4s.(6D<7/2>).4f,2[9/2]*,4,,,L11631c80,
Fe,2,2845.115,0.005,2845.11865,0.00018,"80d,bl(Fe I)?",,,79245.926,114393.845,3d5.(6S).4s.4p.(1P*),x 6P*,3/2,3d6.(5D).6d,114393,3/2,,,L18349c143,
Fe,1,2845.249,0.003,2845.25732,0.00018,0d?,,,24118.819,59265.025,3d6.4s2,b 3G,4,3d7.(4F<7/2>).4f,2[11/2]*,5,,,L11631c80,
Fe,2,2845.7941,0.0015,2845.79305,0.00014,5000,5.5E+07,D+,45206.4704,80346.060,3d6.(5D).4p,z 4D*,1/2,3d6.(5D).5s,e 4D,1/2,,T6892c83,L18349c139,
Fe,2,2845.875,0.005,2845.87620,0.00020,600d?,,,54904.241,90042.804,3d6.(3F1).4s,d 2F,7/2,3d6.(5D).5p,4F*,9/2,,,L18349c143,
Fe,2,2846.002,0.005,2846.00870,0.00015,"140d,bl",,,73492.248,108629.175,3d5.4s2,4F,7/2,3d5.(4G).4s.4p.(1P*),4G*,5/2,,,L18349c143,
Fe,2,2846.2175,0.0014,2846.21897,0.00014,3100,5.6E+06,D+,31387.9788,66522.310,3d6.(3D).4s,b 4D,5/2,3d6.(3G).4p,x 4F*,5/2,,T6892c83,L18349c139,
Fe,2,2846.2611,0.0005,2846.26092,0.00012,12000,6.1E+07,D+,45044.1916,80178.005,3d6.(5D).4p,z 4D*,3/2,3d6.(5D).5s,e 4D,3/2,,T6892c83,L18349c139,
Fe,2,2846.321,0.003,2846.3241,0.0003,700,1.4E+07,D+,72043.060,107176.093,3d6.(3D).4p,w 4P*,3/2,3d6.(5D).5d,4P,1/2,,T6892c83,L18349c139,
Fe,1,2846.3838,0.0012,2846.38312,0.00011,191,7.76E+05,C+,12560.934,47693.239,3d7.(4F).4s,a 3F,3,3d6.(3G).4s.4p.(3P*),w 5G*,3,,T5720,L11631,
Fe,2,2846.4043,0.0013,2846.40443,0.00020,280,,,78690.860,113822.902,3d6.(1D2).4p,w 2D*,5/2,3d6.(3D).4d,4P,3/2,,,L18349c139,
Fe,2,2846.43090,0.00013,2846.43173,0.00013,130000bl(Fe I),1.6E+08,C,44753.8179,79885.523,3d6.(5D).4p,z 4F*,7/2,3d6.(5D).5s,e 4D,5/2,,T7466,L18349c148,
Fe,1,2846.4309,0.0022,2846.43068,0.00018,3470bl,7.86E+06,B,7728.060,42859.778,3d7.(4F).4s,a 5F,3,3d6.(3P2).4s.4p.(3P*),x 5P*,2,,T5720,L11631,
Fe,1,2846.5496,0.0006,2846.55003,0.00011,302,7.32E+05,C+,11976.239,47106.484,3d7.(4F).4s,a 3F,4,3d6.(3H).4s.4p.(3P*),z 3H*,4,,T5720,L11631,
Fe,1,2846.6538,0.0017,2846.65002,0.00011,100,,,19350.891,54479.902,3d6.(5D).4s.4p.(3P*),z 7D*,5,3d6.4s.(6D).6s,5D,4,,,L11631,
Fe,2,2847.148,0.005,2847.15244,0.00015,110d,,,73395.831,108518.643,3d5.4s2,4F,5/2,3d5.(2F1).4s.4p.(3P*),4F*,7/2,,,L18349c143,
Fe,1,2847.2963,0.0017,2847.2959,0.0007,219,,,24180.862,59301.904,3d6.(5D).4s.4p.(3P*),z 7P*,3,3d6.4s.(4D).4d,3F,4,,,L11631,
Fe,1,2847.6663,0.0012,2847.66639,0.00011,219,8.74E+05,B,11976.239,47092.712,3d7.(4F).4s,a 3F,4,3d6.(3F2).4s.4p.(3P*),x 3F*,3,,T5720,L11631,
Fe,2,2847.771,0.005,2847.77157,0.00017,170,3.3E+07,D+,64806.494,99921.670,3d6.(3P2).4p,z 2P*,1/2,3d6.(3P2).5s,2P,1/2,,T6892c83,L18349c143,
Fe,1,2847.826,0.003,2847.82372,0.00011,0,,,20019.635,55134.168,3d6.(5D).4s.4p.(3P*),z 7D*,1,3d6.4s.(6D).6s,5D,2,,,L11631c80,
Fe,2,2848.049,0.002,2848.04856,0.00013,3100,1.7E+04,E,25981.6451,61093.406,3d6.(3G).4s,a 4G,7/2,3d6.(3P2).4p,z 2D*,5/2,,T6892c83,L18349c139,
Fe,1,2848.372,0.003,2848.36996,0.00011,-1,,,19757.032,54864.831,3d6.(5D).4s.4p.(3P*),z 7D*,3,3d6.4s.(6D).6s,5D,3,,,L11631c81,
Fe,2,2848.536,0.005,2848.52857,0.00015,700d?,,,31483.1979,66589.042,3d6.(3D).4s,b 4D,7/2,3d6.(3G).4p,y 4H*,9/2,,,L18349c143,
Fe,2,2848.6103,0.0006,2848.61023,0.00012,11000,5.1E+07,D+,43620.9842,78725.822,3d6.(5D).4p,z 6P*,3/2,3d6.(5D).5s,e 6D,3/2,,T6892c83,L18349c139,
Fe,2,2848.7203,0.0009,2848.72049,0.00020,1000,9.6E+07,C+,74498.093,109601.572,3d6.(3D).4p,x 2D*,3/2,3d6.(3D).5s,2D,3/2,,T6892c83,L18349c139,
Fe,2,2848.8887,0.0007,2848.88800,0.00014,8000,1.3E+07,D+,26055.4120,61156.827,3d6.(3G).4s,a 4G,5/2,3d6.(3H).4p,z 4H*,7/2,,T6892c83,L18349c139,
Fe,2,2848.9053,0.0020,2848.90537,0.00016,700,6.9E+06,D+,71964.750,107065.951,3d6.(3D).4p,w 4P*,5/2,3d6.(5D).5d,4P,3/2,,T6892c83,L18349c139,
Fe,2,2848.9432,0.0003,2848.94302,0.00013,24000,9.9E+07,C+,44784.7859,79885.523,3d6.(5D).4p,z 4D*,5/2,3d6.(5D).5s,e 4D,5/2,,T7466,L18349c139,
Fe,2,2849.068,0.005,2849.05699,0.00012,80d,,,78237.709,113337.042,3d6.(5D).5s,e 6D,7/2,3d6.(5D<3>).5f,2[4]*,7/2,,,L18349c143,
Fe,2,2849.1568,0.0002,2849.15683,0.00012,32000,1.59E+08,C+,45079.9019,80178.005,3d6.(5D).4p,z 4F*,5/2,3d6.(5D).5s,e 4D,3/2,,T6892c83,L18349c139,
Fe,1,2849.464,0.003,2849.45754,0.00018,0d?,,,22249.429,57343.828,3d7.(2G).4s,a 3G,3,3d6.4s.(6D).6p,5F*,3,,,L11631c80,
Fe,5,,,2849.54,0.05,,4.3E-03,D+,26760.7,61854.1,3d4,3F2,2,3d4,3P1,2,M1+E2,T9277,,
Fe,1,2849.5517,0.0002,2849.55181,0.00018,1200,2.7E+06,B,7985.785,43079.023,3d7.(4F).4s,a 5F,2,3d6.(3P2).4s.4p.(3P*),x 5P*,1,,T5720,L11631,
Fe,2,2849.7418,0.0015,2849.74151,0.00024,3000,5.3E+06,D+,32909.883,68000.785,3d6.(1I).4s,a 2I,11/2,3d6.(3G).4p,y 2H*,9/2,,T6892c83,L18349c139,
Fe,2,2849.806,0.005,2849.80615,0.00014,110?,4.2E+05,D,73393.771,108483.877,3d5.4s2,4F,9/2,3d6.(3H).5p,4G*,11/2,,T6892c83,L18349c143,
Fe,2,2850.0070,0.0018,2850.00961,0.00015,1400,6.8E+07,D+,64834.069,99921.670,3d6.(3P2).4p,z 2P*,3/2,3d6.(3P2).5s,2P,1/2,,T6892c83,L18349c139,
Fe,2,2850.4002,0.0012,2850.40223,0.00019,900,3.7E+06,D+,73966.843,109049.611,3d6.(1I).4p,y 2I*,13/2,3d6.(3G).4d,2I,13/2,,T6892c83,L18349c139,
Fe,2,2850.4424,0.0010,2850.44196,0.00013,5000,4.6E+06,D+,25805.3270,60887.606,3d6.(3G).4s,a 4G,9/2,3d6.(3H).4p,z 4H*,11/2,,T6892c83,L18349c139,
Fe,2,2850.724,0.005,2850.72368,0.00015,100d,3.6E+05,D,73492.248,108571.060,3d5.4s2,4F,7/2,3d6.(3H).5p,4G*,9/2,,T6892c83,L18349c143,
Fe,3,2851.124,0.013,2851.138,0.004,2000,,,105929.25,141002.97,3d5.(b 2D).4s,3D,3,3d5.(a 2G).4p,3F*,4,,,L3495,
Fe,3,2851.417,0.013,2851.413,0.004,290,7E+05,D,89783.78,124854.11,3d5.(a 2G).4s,3G,4,3d5.(4D).4p,3D*,3,,T6105,L3495,
Fe,2,2851.483,0.005,2851.48301,0.00013,800d?,,,27620.4033,62689.874,3d6.(3F2).4s,a 2F,5/2,3d6.(3P2).4p,y 4D*,5/2,,,L18349c143,
Fe,2,2851.548,0.005,2851.54926,0.00013,150,6.8E+06,D+,67516.328,102584.984,3d6.(3G).4p,y 2H*,11/2,3d6.(3G).5s,f 4G,11/2,,T6892c83,L18349c143,
Fe,2,2851.618,0.005,2851.60618,0.00019,80d?,,,79284.919,114352.875,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,3d6.(5D).6d,114352,5/2,,,L18349c143,
Fe,3,2851.711,0.012,2851.708,0.005,550,,,116467.59,151534.30,3d5.(4G).4p,5F*,4,3d5.(6S).4d,5D,3,,,L1171,
Fe,2,2851.768,0.005,2851.76687,0.00015,120d?,,,70523.694,105589.674,3d6.(3G).4p,x 2G*,7/2,3d6.(3F2).4d,4H,7/2,,,L18349c143,
Fe,3,2851.966,0.013,2851.958,0.004,480,,,97041.49,132105.12,3d5.(b 2F).4s,1F,3,3d5.(a 2D).4p,3F*,2,,,L3495,
Fe,2,2852.243,0.005,2852.24605,0.00013,800d?,2.4E+06,D+,25981.6451,61041.734,3d6.(3G).4s,a 4G,7/2,3d6.(3H).4p,z 4G*,5/2,,T6892c83,L18349c143,
Fe,3,2852.31,0.06,2852.296,0.005,350w*,,,116475.56,151535.03,3d5.(4G).4p,5F*,3,3d5.(6S).4d,5D,2,,,L1171,
Fe,3,2852.31,0.06,2852.356,0.005,350w*,,,116475.56,151534.30,3d5.(4G).4p,5F*,3,3d5.(6S).4d,5D,3,,,L1171,
Fe,1,2852.3477,0.0017,2852.34692,0.00018,79,,,21038.987,56097.836,3d6.4s2,b 3F2,2,3d6.(3G).4s.4p.(3P*),1F*,3,,,L11631,
Fe,2,2852.5591,0.0003,2852.55959,0.00014,21000,1.96E+08,C+,45289.8248,80346.060,3d6.(5D).4p,z 4F*,3/2,3d6.(5D).5s,e 4D,1/2,,T6892c83,L18349c139,
Fe,1,2852.6347,0.0002,2852.63480,0.00018,15100,3.37E+07,B+,8154.714,43210.025,3d7.(4F).4s,a 5F,1,3d6.(3H).4s.4p.(3P*),y 5G*,2,,T5720,L11631,
Fe,1,2852.8526,0.0012,2852.8518,0.0007,55,,,22946.816,57999.461,3d7.(4P).4s,b 3P,1,3d6.4s.(4D).5p,3P*,2,,,L11631,
Fe,1,2853.007,0.005,2853.01316,0.00011,1bl,,,19552.478,54603.140,3d6.4s2,a 3P2,1,3d7.(4F).5p,5D*,1,,,L11631c80,
Fe,2,2853.4596,0.0010,2853.4599,0.0003,1000,4.4E+07,C+,73603.537,108648.712,3d6.(1I).4p,w 2H*,11/2,3d6.(1I).5s,2I,13/2,,T6892c83,L18349c139,
Fe,2,2853.704,0.005,2853.70242,0.00016,1000,1.7E+06,C+,26932.7348,61974.931,3d6.(3P2).4s,b 2P,1/2,3d5.(6S).4s.4p.(3P*),y 6P*,3/2,,T7503,L18349c143,
Fe,1,2853.811,0.005,2853.80399,0.00011,"0d,bl",,,11976.239,47017.188,3d7.(4F).4s,a 3F,4,3d7.(4P).4p,w 3D*,3,,,L11631c80,
Fe,2,2853.955,0.005,2853.95360,0.00013,700d?,,,31483.1979,66522.310,3d6.(3D).4s,b 4D,7/2,3d6.(3G).4p,x 4F*,5/2,,,L18349c143,
Fe,2,2854.048,0.005,2854.04467,0.00014,800,2.3E+06,D+,26055.4120,61093.406,3d6.(3G).4s,a 4G,5/2,3d6.(3P2).4p,z 2D*,5/2,,T6892c83,L18349c142,
Fe,1,2854.178,0.003,2854.1792,0.0009,0d?,,,24180.862,59217.204,3d6.(5D).4s.4p.(3P*),z 7P*,3,3d6.4s.(6D<9/2>).6d,2[5/2],3,,,L11631c80,
Fe,1,2854.5222,0.0012,2854.52224,0.00011,219,3.29E+05,C+,11976.239,47008.371,3d7.(4F).4s,a 3F,4,3d6.(3H).4s.4p.(3P*),z 3H*,5,,T5720,L11631,
Fe,1,2854.6099,0.0012,2854.6101,0.0003,209,5.91E+06,C+,20874.482,55905.536,3d6.4s2,b 3F2,3,3d6.(1G2).4s.4p.(3P*),s 3G*,4,,T5720,L11631,
Fe,2,2854.952,0.005,2854.9494,0.0003,100d?,6.5E+06,D+,73603.537,108630.427,3d6.(1I).4p,w 2H*,11/2,3d6.(1I).5s,2I,11/2,,T6892c83,L18349c143,
Fe,2,2855.000,0.005,2854.98979,0.00013,90d?,,,73492.248,108518.643,3d5.4s2,4F,7/2,3d5.(2F1).4s.4p.(3P*),4F*,7/2,,,L18349c142,
Fe,1,2855.022,0.003,2855.0289,0.0008,0d?,,,27166.820,62192.735,3d6.(5D).4s.4p.(3P*),z 5F*,4,,62192e,5,,,L11631c80,
Fe,3,2855.027,0.024,2855.054,0.004,420,,,84672.08,119697.69,3d5.(a 2F).4s,3F,3,3d5.(4P).4p,3P*,2,,,L3495,
Fe,2,2855.119,0.005,2855.1121,0.0003,230,,,38164.220,73189.114,3d6.(1D2).4s,c 2D,5/2,3d6.(3D).4p,y 2P*,3/2,,,L18349c142,
Fe,2,2855.198,0.005,2855.19855,0.00020,100d?,,,73751.276,108775.110,3d6.(1I).4p,w 2H*,9/2,3d6.(3G).4d,4I,11/2,,,L18349c143,
Fe,2,2855.273,0.005,2855.2754,0.0003,150,3.8E+06,D+,72043.060,107065.951,3d6.(3D).4p,w 4P*,3/2,3d6.(5D).5d,4P,3/2,,T6892c83,L18349c143,
Fe,2,2855.521,0.005,2855.5230,0.0003,160d,,,54870.541,89890.396,3d6.(3F1).4s,d 2F,5/2,3d6.(3F1).4p,4G*,7/2,,,L18349c142,
Fe,5,,,2856.18,0.04,,3.2E-02,D+,26842.3,61854.1,3d4,3F2,3,3d4,3P1,2,M1+E2,T9277,,
Fe,2,2856.251,0.005,2856.25089,0.00024,90d?,2.4E+06,D+,75600.900,110611.830,3d6.(3D).4p,w 2F*,7/2,3d6.(3G).4d,2F,5/2,,T6892c83,L18349c143,
Fe,2,2856.5062,0.0006,2856.50635,0.00013,8000,9E+06,D+,25981.6451,60989.444,3d6.(3G).4s,a 4G,7/2,3d6.(3H).4p,z 4H*,9/2,,T6892c83,L18349c139,
Fe,2,2856.5303,0.0010,2856.52856,0.00013,6000,6.4E+06,D+,27314.9183,62322.445,3d6.(3F2).4s,a 2F,7/2,3d6.(3H).4p,z 2G*,7/2,,T6892c83,L18349c139,
Fe,2,2856.9861,0.0013,2856.98678,0.00013,4000,5E+06,D+,25805.3270,60807.239,3d6.(3G).4s,a 4G,9/2,3d6.(3H).4p,z 4G*,9/2,,T6892c83,L18349c139,
Fe,2,2857.2158,0.0004,2857.21613,0.00012,14000,4.4E+07,C,43238.6066,78237.709,3d6.(5D).4p,z 6P*,5/2,3d6.(5D).5s,e 6D,7/2,,T7466,L18349c139,
Fe,2,2857.576,0.005,2857.57492,0.00024,100d?,5.2E+06,D+,74606.864,109601.572,3d6.(3D).4p,x 2D*,5/2,3d6.(3D).5s,2D,3/2,,T6892c83,L18349c143,
Fe,2,2857.74801,0.00016,2857.74781,0.00012,50000,1.33E+08,C+,44446.9051,79439.496,3d6.(5D).4p,z 4D*,7/2,3d6.(5D).5s,e 4D,7/2,,T7466,L18349c139,
Fe,2,2857.9609,0.0009,2857.96089,0.00013,1300,,,64834.069,99824.051,3d6.(3P2).4p,z 2P*,3/2,3d6.(3F2).5s,f 4F,5/2,,,L18349c139,
Fe,2,2858.0115,0.0009,2858.01364,0.00014,6000,1.2E+07,D+,31387.9788,66377.315,3d6.(3D).4s,b 4D,5/2,3d6.(3G).4p,x 4F*,7/2,,T6892c83,L18349c139,
Fe,2,2858.258,0.005,2858.25987,0.00014,1000,2E+06,D,26055.4120,61041.734,3d6.(3G).4s,a 4G,5/2,3d6.(3H).4p,z 4G*,5/2,,T6892c83,L18349c143,
Fe,1,2858.533,0.003,2858.5338,0.0025,(0)?,,,27394.691,62377.66,3d6.(5D).4s.4p.(3P*),z 5F*,3,,62377e,4,,,L11631c81,
Fe,1,2858.8323,0.0017,2858.83128,0.00012,100,,,18378.186,53357.515,3d6.4s2,a 3P2,2,3d6.(3G).4s.4p.(3P*),x 3F*,3,,,L11631,
Fe,1,2858.9287,0.0017,2858.92560,0.00018,44,,,19552.478,54530.653,3d6.4s2,a 3P2,1,3d7.(4F).5p,5D*,2,,,L11631,
Fe,2,2859.17964,0.00018,2859.18007,0.00014,35000,4.8E+07,C+,30388.5451,65363.607,3d6.(3G).4s,b 2G,9/2,3d6.(3H).4p,z 2H*,11/2,,T6892c83,L18349c139,
Fe,2,2859.365,0.005,2859.3638,0.0003,700d,8E+06,D+,38214.503,73187.318,3d6.(1D2).4s,c 2D,3/2,3d6.(3D).4p,y 2P*,1/2,,T6892c83,L18349c143,
Fe,2,2859.4686,0.0011,2859.46845,0.00013,5000,3E+07,D+,45206.4704,80178.005,3d6.(5D).4p,z 4D*,1/2,3d6.(5D).5s,e 4D,3/2,,T6892c83,L18349c139,
Fe,3,2859.501,0.019,2859.503,0.004,1600bl(Fe II),,,90472.61,125443.72,3d5.(4F).4s,3F,4,3d5.(4D).4p,3F*,4,,,L3495,
Fe,1,2859.517,0.003,2859.5231,0.0003,0d?,,,23711.456,58682.322,3d6.(5D).4s.4p.(3P*),z 7P*,4,3d6.4s.(4D).4d,3D,3,,,L11631c80,
Fe,2,2859.647,0.005,2859.64202,0.00020,90d?,4.3E+06,D+,75600.900,110570.312,3d6.(3D).4p,w 2F*,7/2,3d6.(3G).4d,2F,7/2,,T6892c83,L18349c143,
Fe,1,2859.7359,0.0022,2859.73541,0.00012,339bl,2.12E+05,B,888.132,35856.402,3d6.4s2,a 5D,1,3d7.(4F).4p,z 5G*,2,,T5720,L11631,
Fe,3,2860.13,0.06,2860.02,0.03,580wh*,9.2E+07,C,184777.41,219742.2,3d5.(6S).4f,5F*,1,3d5.(6S).6g,5G,2,,u44,L1171,
Fe,3,2860.13,0.06,2860.054,0.025,580wh*,9.1E+07,C,184777.9,219742.27,3d5.(6S).4f,5F*,2,3d5.(6S).6g,5G,3,,u44,L1171,
Fe,3,2860.13,0.06,2860.118,0.025,580wh*,9.8E+07,C+,184778.69,219742.28,3d5.(6S).4f,5F*,3,3d5.(6S).6g,5G,4,,u44,L1171,
Fe,3,2860.13,0.06,2860.213,0.025,580wh*,1.07E+08,C+,184779.6,219742.03,3d5.(6S).4f,5F*,4,3d5.(6S).6g,5G,5,,u44,L1171,
Fe,2,2860.154,0.005,2860.15795,0.00025,110d?,,,72212.989,107176.093,3d6.(3D).4p,w 4P*,1/2,3d6.(5D).5d,4P,1/2,,,L18349c143,
Fe,3,2860.31,0.03,2860.333,0.019,580h,1.19E+08,B,184781.00,219741.97,3d5.(6S).4f,5F*,5,3d5.(6S).6g,5G,6,,u44,L1171,
Fe,3,2860.448,0.012,2860.450,0.003,220,,,90484.18,125443.72,3d5.(4F).4s,3F,3,3d5.(4D).4p,3F*,4,,,L1171,
Fe,2,2860.619,0.005,2860.60877,0.00019,80,,,79284.919,114242.513,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,3d6.(5D).6d,114242,5/2,,,L18349c143,
Fe,1,2861.040,0.003,2861.03910,0.00012,2,,,19912.495,54864.831,3d6.(5D).4s.4p.(3P*),z 7D*,2,3d6.4s.(6D).6s,5D,3,,,L11631c80,
Fe,2,2862.008,0.005,2862.00716,0.00013,900,1.7E+05,E,8680.4706,43620.9842,3d6.(5D).4s,a 4D,3/2,3d6.(5D).4p,z 6P*,3/2,,T6892c83,L18349c143,
Fe,2,2862.402,0.005,2862.39707,0.00015,"160d,bl(Fe II)?*",1.4E+06,D,65556.271,100492.025,3d6.(3H).4p,z 2H*,9/2,3d6.(3F2).5s,e 2F,7/2,,T6892c83,L18349c143,
Fe,2,2862.402,0.005,2862.40781,0.00016,"160d,bl(Fe II)?*",5E+05,D,71964.750,106900.373,3d6.(3D).4p,w 4P*,5/2,3d6.(3F2).4d,2G,7/2,,T6892c83,L18349c143,
Fe,2,2862.480,0.005,2862.47707,0.00013,700,,,38458.9934,73393.771,3d6.(5D).4p,z 6D*,9/2,3d5.4s2,4F,9/2,,,L18349c143,
Fe,2,2862.738,0.005,2862.73916,0.00013,700d?,3.1E+05,D,30764.4737,65696.053,3d6.(3G).4s,b 2G,7/2,3d6.(3G).4p,x 4G*,9/2,,T6892c83,L18349c143,
Fe,2,2863.080,0.005,2863.07695,0.00019,80d?,,,79284.919,114212.377,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,3d6.(5D).6d,114212,7/2,,,L18349c143,
Fe,1,2863.114,0.003,2863.11638,0.00018,0d?,,,24338.767,59265.744,3d6.4s2,b 3G,3,3d7.(4F<7/2>).4f,2[7/2]*,4,,,L11631c80,
Fe,3,2863.246,0.012,2863.251,0.005,120,,,83429.86,118355.20,3d5.(2I).4s,1I,6,3d5.(4G).4p,3H*,6,,,L1171,
Fe,1,2863.3351,0.0007,2863.33511,0.00018,760,1.17E+06,B,8154.714,43079.023,3d7.(4F).4s,a 5F,1,3d6.(3P2).4s.4p.(3P*),x 5P*,1,,T5720,L11631,
Fe,3,2863.352,0.024,2863.320,0.008,320h,,,147556.29,182480.78,3d5.(b 2F).4p,3D*,1,3d5.(4P).4d,5F,2,,,L1171,
Fe,1,2863.584,0.003,2863.58232,0.00018,0d?,,,23783.619,58704.913,3d6.4s2,b 3G,5,3d7.(4F<9/2>).4f,2[9/2]*,4,,,L11631c80,
Fe,2,2863.794,0.005,2863.78528,0.00013,"110d,bl(Fe II)?*",,,57411.086,92329.905,3d5.4s2,d 4P,5/2,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,,L18349c142,
Fe,2,2863.794,0.005,2863.79135,0.00015,"110d,bl(Fe II)?*",2.9E+06,D+,69650.481,104569.226,3d6.(3G).4p,y 2F*,5/2,3d6.(3P2).4d,4F,5/2,,T6892c83,L18349c142,
Fe,2,2863.794,0.005,2863.8016,0.0003,"110d,bl(Fe II)?*",,,73187.318,108105.938,3d6.(3D).4p,y 2P*,1/2,3d6.(3F2).4d,2P,3/2,,,L18349c142,
Fe,1,2863.898,0.003,2863.89650,0.00012,2,,,19562.439,54479.902,3d6.(5D).4s.4p.(3P*),z 7D*,4,3d6.4s.(6D).6s,5D,4,,,L11631c80,
Fe,1,2863.941,0.005,2863.94095,0.00018,"0d,bl?",,,23783.619,58700.540,3d6.4s2,b 3G,5,3d7.(4F<9/2>).4f,2[11/2]*,6,,,L11631c80,
Fe,2,2863.941,0.005,2863.94891,0.00025,"110d,bl(Fe I)?",1.7E+06,D,73189.114,108105.938,3d6.(3D).4p,y 2P*,3/2,3d6.(3F2).4d,2P,3/2,,T6892c83,L18349c143,
Fe,1,2864.2706,0.0002,2864.27055,0.00012,1260,4.13E+06,B,11976.239,46889.142,3d7.(4F).4s,a 3F,4,3d6.(3F2).4s.4p.(3P*),x 3F*,4,,T5720,L11631,
Fe,1,2864.7038,0.0002,2864.70420,0.00012,1580,5.69E+05,C+,704.007,35611.625,3d6.4s2,a 5D,2,3d7.(4F).4p,z 5G*,3,,T5720,L11631,
Fe,2,2864.9634,0.0009,2864.96357,0.00013,6000,2E+07,D+,43620.9842,78525.442,3d6.(5D).4p,z 6P*,3/2,3d6.(5D).5s,e 6D,5/2,,T6892c83,L18349c139,
Fe,2,2865.167,0.002,2865.16368,0.00016,600,4.5E+06,D+,71964.750,106866.770,3d6.(3D).4p,w 4P*,5/2,3d6.(3F2).4d,4F,5/2,,T6892c83,L18349c139,
Fe,2,2865.219,0.002,2865.21712,0.00014,4000,3.8E+05,D,26055.4120,60956.781,3d6.(3G).4s,a 4G,5/2,3d6.(3H).4p,z 4G*,7/2,,T6892c83,L18349c139,
Fe,2,2865.582,0.003,2865.58019,0.00017,500,1.7E+06,D,72169.004,107065.951,3d6.(3D).4p,w 4F*,3/2,3d6.(5D).5d,4P,3/2,,T6892c83,L18349c139,
Fe,2,2865.811,0.005,2865.81259,0.00013,1200,4.3E+06,D+,31483.1979,66377.315,3d6.(3D).4s,b 4D,7/2,3d6.(3G).4p,x 4F*,7/2,,T6892c83,L18349c143,
Fe,2,2866.094,0.005,2866.0938,0.0003,700d?,,,38164.220,73054.913,3d6.(1D2).4s,c 2D,5/2,3d6.(1G2).4p,x 2F*,5/2,,,L18349c143,
Fe,2,2866.2977,0.0018,2866.30026,0.00013,2600,1.3E+07,D+,45289.8248,80178.005,3d6.(5D).4p,z 4F*,3/2,3d6.(5D).5s,e 4D,3/2,,T6892c83,L18349c139,
Fe,3,2866.380,0.020,2866.353,0.003,250,,,83359.20,118246.74,3d5.(4F).4s,5F,2,3d5.(4P).4p,5P*,3,,,L3495,
Fe,2,2866.886,0.005,2866.88897,0.00019,80d,,,79331.361,114212.377,3d5.(6S).4s.4p.(1P*),x 6P*,7/2,3d6.(5D).6d,114212,7/2,,,L18349c143,
Fe,5,,,2866.94,0.05,,1.6E-01,D+,26973.7,61854.1,3d4,3F2,4,3d4,3P1,2,E2,T9277,,
Fe,1,2866.994,0.005,2866.9929,0.0003,"0d,bl?*",,,20874.482,55754.233,3d6.4s2,b 3F2,3,3d7.(2D2).4p,w 1D*,2,,,L11631c80,
Fe,1,2866.994,0.005,2866.99303,0.00018,"0d,bl?*",,,23711.456,58591.206,3d6.(5D).4s.4p.(3P*),z 7P*,4,3d7.(4F).5d,5F,5,,,L11631c80,
Fe,2,2867.0414,0.0007,2867.0423,0.0003,1400,7.8E+07,B+,73751.276,108630.427,3d6.(1I).4p,w 2H*,9/2,3d6.(1I).5s,2I,11/2,,T6892c83,L18349c139,
Fe,1,2867.222,0.003,2867.22147,0.00018,1,,,21715.732,56592.703,3d7.(2G).4s,a 3G,5,3d6.(1G2).4s.4p.(3P*),u 3F*,4,,,L11631c80,
Fe,2,2867.3811,0.0013,2867.38031,0.00013,800,1.1E+07,D+,69606.567,104481.606,3d6.(3G).4p,y 2F*,7/2,3d6.(3H).4d,2F,7/2,,T6892c83,L18349c139,
