element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,23,1.87814,0.00010,1.87814,0.00011,,,,752410,53996600,1s2.2s.2p,1P*,1,1s.(2S).2s.2p2.(2D),1D,2,,,L6657,
Fe,22,1.8794,0.0010,1.8794,0.0005,,,,118266,53327000,2s2.2p,2P*,3/2,1s.2s2.2p2,2S,1/2,,,L5300,
Fe,23,1.87973,0.00010,1.87973,0.00011,,,,0,53199100,1s2.2s2,1S,0,1s.2s2.2p,3P*,1,,,L6657,
Fe,22,1.8824,0.0010,1.8825,0.0005,,,,0,53122000,2s2.2p,2P*,1/2,1s.2s2.2p2,2P,1/2,,,L5300,
Fe,22,1.8824,0.0010,1.8824,0.0005,,,,118266,53242000,2s2.2p,2P*,3/2,1s.2s2.2p2,2P,3/2,,,L5300,
Fe,22,1.88259,0.00010,1.88239,0.00011,,,,0,53124000,2s2.2p,2P*,1/2,1s.2s2.2p2,2D,3/2,,,L6657,
Fe,22,1.88534,0.00010,1.88509,0.00011,,,,118266,53166000,2s2.2p,2P*,3/2,1s.2s2.2p2,2D,5/2,,,L6657,
Fe,22,1.8867,0.0010,1.8867,0.0005,,,,118266,53122000,2s2.2p,2P*,3/2,1s.2s2.2p2,2P,1/2,,,L5300,
Fe,23,1.88706,0.00010,1.88707,0.00018,,,,471780,53464000,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(4P),5P,3,,,L6657,
Fe,21,1.8916,0.0010,1.8918,0.0005,,,,244561,53104000,2s2.2p2,1D,2,1s.2s2.2p3,1P*,1,,,L5300,
Fe,24,1.89244,0.00010,1.89237,0.00011,,9.7E+12,D+,391983,53235800,1s2.2p,2P*,1/2,1s.2s2,2S,1/2,,T4731,L6657,
Fe,21,1.89359,0.00010,1.89359,0.00011,,,,117354,52927100,2s2.2p2,3P,2,1s.2s2.2p3,1D*,2,,,L6657,
Fe,21,1.8942,0.0010,1.8941,0.0005,,,,73851,52870000,2s2.2p2,3P,1,1s.2s2.2p3,3S*,1,,,L5300,
Fe,21,1.8942,0.0010,1.8942,0.0005,,,,244561,53037000,2s2.2p2,1D,2,1s.2s2.2p3,3P*,2,,,L5300,
Fe,21,1.89474,0.00010,1.89474,0.00011,,,,0,52777700,2s2.2p2,3P,0,1s.2s2.2p3,3D*,1,,,L6657,
Fe,21,1.8966,0.0010,1.8966,0.0005,,,,117354,52843000,2s2.2p2,3P,2,1s.2s2.2p3,3D*,3,,,L5300,
Fe,21,1.89692,0.00010,1.89695,0.00011,,,,73851,52790000,2s2.2p2,3P,1,1s.2s2.2p3,3D*,2,,,L6657,
Fe,24,1.89692,0.00010,1.89699,0.00011,,9.8E+12,D+,520757,53235800,1s2.2p,2P*,3/2,1s.2s2,2S,1/2,,T4731,L6657,
Fe,20,1.9051,0.0010,1.9051,0.0005,,,,0,52491000,2s2.2p3,4S*,3/2,1s.2s2.2p4,4P,1/2,,,L5300,
Fe,20,1.9051,0.0010,1.9051,0.0005,,,,176130,52667000,2s2.2p3,2D*,5/2,1s.2s2.2p4,2P,3/2,,,L5300,
Fe,20,1.9051,0.0010,1.9051,0.0005,,,,323340,52814000,2s2.2p3,2P*,3/2,1s.2s2.2p4,2S,1/2,,,L5300,
Fe,20,1.90568,0.00010,1.90568,0.00011,,,,0,52474700,2s2.2p3,4S*,3/2,1s.2s2.2p4,4P,3/2,,,L6657,
Fe,20,1.9075,0.0010,1.9075,0.0005,,,,138620,52563000,2s2.2p3,2D*,3/2,1s.2s2.2p4,2D,3/2,,,L5300,
Fe,20,1.9075,0.0010,1.9075,0.0005,,,,176130,52601000,2s2.2p3,2D*,5/2,1s.2s2.2p4,2D,5/2,,,L5300,
Fe,20,1.90845,0.00010,1.90845,0.00011,,,,0,52398500,2s2.2p3,4S*,3/2,1s.2s2.2p4,4P,5/2,,,L6657,
Fe,19,1.91765,0.00010,1.91765,0.00011,,,,0,52147200,2s2.2p4,3P,2,1s.2s2.2p5,3P*,2,,,L6657,
Fe,18,1.92164,0.00010,1.9216,0.0011,,,,0,52039000,2s2.2p5,2P*,3/2,1s.2s2.2p6,2S,1/2,,,L6657,
Fe,26,,,6.337581,0.000010,,2.35E+12,A,-56075900,-71854790,2s,2S,1/2,5p,2P*,3/2,,T7228extrap,L11926,
Fe,26,,,6.403725,0.000010,,4.34E+12,A,-56242450,-71858360,2p,2P*,3/2,5d,2D,5/2,,T7228extrap,L11926,
Fe,25,,,6.7031,0.0010,,,,[53527760],[68446300],1s.2s,3S,1,1s.5p,3P*,2,,,L11926,
Fe,25,,,6.7065,0.0010,,1.8E+12,B,[53527760],[68438600],1s.2s,3S,1,1s.5p,3P*,1,,T3221,,
Fe,24,,,6.749,0.010,,9.28E+11,C+,391983,15209500,1s2.2p,2P*,1/2,1s2.7d,2D,3/2,,T3015LS,,
Fe,24,6.787,0.010,6.786,0.003,,1.02E+12,C+',0,14735600,1s2.2s,2S,1/2,1s2.6p,2P*,3/2,,T3015,L11369,
Fe,24,6.787,0.010,6.788,0.003,,1.02E+12,C+',0,14730900,1s2.2s,2S,1/2,1s2.6p,2P*,1/2,,T3015,L11369,
Fe,24,6.808,0.010,6.808,0.003,,1.08E+12,C+,520757,15208600,1s2.2p,2P*,3/2,1s2.7d,2D,5/2,,T3015LS,L11369,
Fe,24,6.808,0.010,6.808,0.003,,1.8E+11,D,520757,15209500,1s2.2p,2P*,3/2,1s2.7d,2D,3/2,,T3015LS,L11369,
Fe,25,,,6.8150,0.0010,,1.7E+12,B,[53781230],[68454800],1s.2s,1S,0,1s.5p,1P*,1,,T3221,,
Fe,25,,,6.8277,0.0010,,1.7E+11,C,[53777570],[68423800],1s.2p,3P*,1,1s.5s,3S,1,,T3221,,
Fe,25,,,6.8836,0.0010,,,,[53896600],[68423800],1s.2p,3P*,2,1s.5s,3S,1,,,L11926,
Fe,25,,,6.9466,0.0010,,5E+11,C,[54042490],[68438100],1s.2p,1P*,1,1s.5s,1S,0,,T3221,,
Fe,24,6.972,0.010,6.972,0.003,,1.52E+12,C+,391983,14735100,1s2.2p,2P*,1/2,1s2.6d,2D,3/2,,T3015LS,L11369,
Fe,24,7.033,0.010,7.033,0.003,,1.78E+12,C+,520757,14739500,1s2.2p,2P*,3/2,1s2.6d,2D,5/2,,T3015LS,L11369,
Fe,24,7.033,0.010,7.035,0.003,,2.9E+11,D,520757,14735100,1s2.2p,2P*,3/2,1s2.6d,2D,3/2,,T3015LS,L11369,
Fe,26,,,7.090077,0.000010,,4.61E+12,A,-56075900,-70180120,2s,2S,1/2,4p,2P*,3/2,,T7228extrap,L11926,
Fe,24,7.169,0.010,7.168,0.003,,1.7E+12,C+',0,13951600,1s2.2s,2S,1/2,1s2.5p,2P*,3/2,,T3015,L11369,
Fe,24,7.169,0.010,7.172,0.003,,1.7E+12,C+',0,13943400,1s2.2s,2S,1/2,1s2.5p,2P*,1/2,,T3015,L11369,
Fe,26,,,7.171209,0.000010,,9.5E+12,A,-56242450,-70187100,2p,2P*,3/2,4d,2D,5/2,,T7228extrap,L11926,
Fe,24,7.370,0.010,7.370,0.003,,2.8E+12,C,391983,13960500,1s2.2p,2P*,1/2,1s2.5d,2D,3/2,,T3354,L11369,
Fe,24,,,7.3891,0.0010,,,,391983,[13925450],1s2.2p,2P*,1/2,1s2.5s,2S,1/2,,,L11926,
Fe,24,7.438,0.010,7.438,0.003,,3.26E+12,C,520757,13965300,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T3354,L11369,
