obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
108035.9,0.7,108035.93,0.20,80,2.2679e+03,AAA,108324.7253,[109250.3433],9,,,16,,,,T8637,L7424c32,
113086.81,0.18,113087.06,0.17,420,8.2370e+04,AAA,107440.4508,108324.7253,7,,,9,,,,T8637,L7424c32,
115395.4,0.4,115394.81,0.21,110,3.3253e+03,AAA,108324.7253,[109191.3154],9,,,15,,,,T8637,L6002,
,,121568.26,0.19,,6.1733e+02,AAA,108581.9945,[109404.5776],10,,,20,,,,T8637,,
123719.12,0.20,123719.1,0.3,410,4.5608e+05,AAA,106632.1681,107440.4508,6,,,7,,,,T8637,L7424c32,
123871.53,0.18,123871.58,0.17,340,2.3007e+04,AAA,107965.0568,108772.3445,8,,,11,,,,T8637,L7424c32,
125870.5,0.3,125870.65,0.22,210,5.0797e+03,AAA,108324.7253,[109119.1917],9,,,14,,,,T8637,L7424c32,
,,126109.61,0.21,,8.2526e+02,AAA,108581.9945,[109374.9555],10,,,19,,,,T8637,,
,,131879.86,0.23,,1.1269e+03,AAA,108581.9945,[109340.2604],10,,,18,,,,T8637,,
,,139417.6,0.3,,1.5782e+03,AAA,108581.9945,[109299.2642],10,,,17,,,,T8637,,
,,141830.7,0.3,(130),8.1919e+03,AAA,108324.7253,[109029.7913],9,,,13,,,,T8637,,
,,149622.5,0.4,(70),2.2796e+03,AAA,108581.9945,[109250.3433],10,,,16,,,,T8637,,
,,158169.5,0.3,,6.0262e+02,AAA,108772.3445,[109404.5776],11,,,20,,,,T8637,,
,,162090.9,0.4,(270),4.6762e+04,AAA,107965.0568,108581.9945,8,,,10,,,,T8637,,
,,164117.1,0.5,(70),3.4241e+03,AAA,108581.9945,[109191.3154],10,,,15,,,,T8637,,
,,165944.5,0.3,,8.1411e+02,AAA,108772.3445,[109374.9555],11,,,19,,,,T8637,,
,,168806.1,0.3,(140),1.4269e+04,AAA,108324.7253,108917.1209,9,,,12,,,,T8637,,
,,176082.4,0.4,,1.1267e+03,AAA,108772.3445,[109340.2604],11,,,18,,,,T8637,,
,,186151.4,0.6,(80),5.4172e+03,AAA,108581.9945,[109119.1917],10,,,14,,,,T8637,,
,,189782.2,0.4,,1.6062e+03,AAA,108772.3445,[109299.2642],11,,,17,,,,T8637,,
190619.6,0.4,190619.2,0.4,540,2.2720e+05,AAA,107440.4508,107965.0568,7,,,8,,,,T8637,L7455,
,,205146.4,0.5,,6.0050e+02,AAA,108917.1209,[109404.5776],12,,,20,,,,T8637,,
,,209205.5,0.7,(19),2.3773e+03,AAA,108772.3445,[109250.3433],11,,,16,,,,T8637,,
,,218419.5,0.5,,8.2236e+02,AAA,108917.1209,[109374.9555],12,,,19,,,,T8637,,
,,223315.6,0.9,(90),9.2309e+03,AAA,108581.9945,[109029.7913],10,,,13,,,,T8637,,
,,223404.2,0.6,(140),2.8131e+04,AAA,108324.7253,108772.3445,9,,,11,,,,T8637,,
,,236328.7,0.6,,1.1587e+03,AAA,108917.1209,[109340.2604],12,,,18,,,,T8637,,
,,238680.1,0.9,(21),3.6992e+03,AAA,108772.3445,[109191.3154],11,,,15,,,,T8637,,
,,261681.9,0.8,,1.6929e+03,AAA,108917.1209,[109299.2642],12,,,17,,,,T8637,,
,,266818.7,1.0,,6.1190e+02,AAA,[109029.7913],[109404.5776],13,,,20,,,,T8637,,
278035.0,0.8,278033.8,0.8,(220),1.2328e+05,AAA,107965.0568,108324.7253,8,,,9,,,,T8637,L7455,
,,288311.4,1.2,(21),6.1856e+03,AAA,108772.3445,[109119.1917],11,,,14,,,,T8637,,
,,289717.2,1.2,,8.5323e+02,AAA,[109029.7913],[109374.9555],13,,,19,,,,T8637,,
,,298394.9,1.2,(80),1.7740e+04,AAA,108581.9945,108917.1209,10,,,12,,,,T8637,,
,,300099.9,1.4,(14),2.5962e+03,AAA,108917.1209,[109250.3433],12,,,16,,,,T8637,,
,,322093.2,1.5,,1.2323e+03,AAA,[109029.7913],[109340.2604],13,,,18,,,,T8637,,
,,350402.7,1.6,,6.3972e+02,AAA,[109119.1917],[109404.5776],14,,,20,,,,T8637,,
,,364704.6,2.0,(14),4.2709e+03,AAA,108917.1209,[109191.3154],12,,,15,,,,T8637,,
,,371094.8,1.9,,1.8658e+03,AAA,[109029.7913],[109299.2642],13,,,17,,,,T8637,,
,,388429.8,2.4,(20),1.1633e+04,AAA,108772.3445,[109029.7913],11,,,13,,,,T8637,,
,,388697.9,2.1,(110),7.1514e+04,AAA,108324.7253,108581.9945,9,,,10,,,,T8637,,
,,390985.7,2.0,,9.1446e+02,AAA,[109119.1917],[109374.9555],14,,,19,,,,T8637,,
,,452348,3,,1.3689e+03,AAA,[109119.1917],[109340.2604],14,,,18,,,,T8637,,
,,453408,4,(22),3.0257e+03,AAA,[109029.7913],[109250.3433],13,,,16,,,,T8637,,
,,468906,3,,6.9026e+02,AAA,[109191.3154],[109404.5776],15,,,20,,,,T8637,,
,,494876,3,(13),7.8842e+03,AAA,108917.1209,[109119.1917],12,,,14,,,,T8637,,
,,525348,4,(60),4.3766e+04,AAA,108581.9945,108772.3445,10,,,11,,,,T8637,,
,,544543,4,,1.0228e+03,AAA,[109191.3154],[109374.9555],15,,,19,,,,T8637,,
,,555332,4,,2.1920e+03,AAA,[109119.1917],[109299.2642],14,,,17,,,,T8637,,
,,619103,7,(20),5.4961e+03,AAA,[109029.7913],[109191.3154],13,,,15,,,,T8637,,
,,648364,6,,7.7670e+02,AAA,[109250.3433],[109404.5776],16,,,20,,,,T8637,,
,,671389,6,,1.6195e+03,AAA,[109191.3154],[109340.2604],15,,,18,,,,T8637,,
690717,24,690720,5,14bl,2.7989e+04,AAA,108772.3445,108917.1209,11,,,12,,,,T8637,u32,
,,762476,10,(28),3.9258e+03,AAA,[109119.1917],[109250.3433],14,,,16,,,,T8637,,
,,802490,9,,1.2175e+03,AAA,[109250.3433],[109374.9555],16,,,19,,,,T8637,,
887610,80,887545,11,9bl,1.8569e+04,AAA,108917.1209,[109029.7913],12,,,13,,,,T8637,u32,
,,926365,11,,2.8644e+03,AAA,[109191.3154],[109299.2642],15,,,17,,,,T8637,,
,,949547,13,,9.2951e+02,AAA,[109299.2642],[109404.5776],17,,,20,,,,T8637,,
,,1112136,17,,2.1295e+03,AAA,[109250.3433],[109340.2604],16,,,18,,,,T8637,,
1118630,90,1118563,23,14bl,1.2709e+04,AAA,[109029.7913],[109119.1917],13,,,14,,,,T8637,u32,
,,1321156,24,,1.6097e+03,AAA,[109299.2642],[109374.9555],17,,,19,,,,T8637,,
1387500,800,1386510,30,19,8.9344e+03,AAA,[109119.1917],[109191.3154],14,,,15,,,,T8637,L7352,
,,1554790,30,,1.2350e+03,AAA,[109340.2604],[109404.5776],18,,,20,,,,T8637,,
1694230,140,1694110,50,16,6.4283e+03,AAA,[109191.3154],[109250.3433],15,,,16,,,,T8637,L7352,
,,2044120,80,(11),4.7203e+03,AAA,[109250.3433],[109299.2642],16,,,17,,,,T8637,,
,,2439250,120,(8),3.5289e+03,AAA,[109299.2642],[109340.2604],17,,,18,,,,T8637,,
,,2882250,170,(6),2.6808e+03,AAA,[109340.2604],[109374.9555],18,,,19,,,,T8637,,
3376000,600,3375860,230,(4),2.0659e+03,AAA,[109374.9555],[109404.5776],19,,,20,,,,T8637,L9739,
,,3922800,300,(3),,,[109404.5776],[109430.0696],20,,,21,,,,,,
4525700,600,4525800,400,(2),,,[109430.0696],[109452.1650],21,,,22,,,,,L9739,
,,5187600,500,(2),,,[109452.1650],[109471.4416],22,,,23,,,,,,
,,5911000,700,(1),,,[109471.4416],[109488.3592],23,,,24,,,,,,
,,6698700,900,(1),,,[109488.3592],[109503.2875],24,,,25,,,,,,
,,7553300,1100,(1),,,[109503.2875],[109516.5267],25,,,26,,,,,,
,,8477700,1400,(1),,,[109516.5267],[109528.3223],26,,,27,,,,,,
273305600,2500,273307600,400,,,,82258.9191133,82259.2850014,2p,2P*,1/2,2p,2P*,3/2,UT,,L1488,
302478400,400,302478400,400,,,,82258.9543992821,82259.2850014,2s,2S,1/2,2p,2P*,3/2,,,L7320,
747023000,9000,747021000,9000,,,,97492.221701,97492.355566,3s,2S,1/2,3d,2D,5/2,E2,,L4937,
922350000,110000,922416000,9000,,,,97492.211200,97492.319611,3p,2P*,1/2,3p,2P*,3/2,UT,,L6891,
923900000,900000,923930000,170000,,,,97492.211200,97492.319433,3p,2P*,1/2,3d,2D,3/2,,,L4353,
1022000000,400000,1021346000,21000,,,,97492.221701,97492.319611,3s,2S,1/2,3p,2P*,3/2,,,L1164,
1023200000,300000,1023210000,210000,,,,97492.221701,97492.319433,3s,2S,1/2,3d,2D,3/2,E2,,L2271,
1770800000,400000,1770980000,30000,,,,102823.8530211,102823.9094871,4s,2S,1/2,4d,2D,5/2,E2,,L4353,
2186500000,1900000,2189700000,400000,,,,102823.8485825,102823.894250,4p,2P*,1/2,4d,2D,3/2,,,L1164,
2186900000,400000,2186510000,30000,,,,102823.8485825,102823.8943175,4p,2P*,1/2,4p,2P*,3/2,UT,,L10329,
2422000000,600000,2421520000,30000,,,,102823.8530211,102823.8943175,4s,2S,1/2,4p,2P*,3/2,,,L2260,
2427000000,4000000,2425500000,500000,,,,102823.8530211,102823.894250,4s,2S,1/2,4d,2D,3/2,E2,,L4353,
2768000000,8000000,2767600000,1500000,,,,97492.319433,97492.355566,3d,2D,3/2,3d,2D,5/2,UT,,L4353,
2781000000,3000000,2781250000,180000,,,,97492.319611,97492.355566,3p,2P*,3/2,3d,2D,5/2,,,L4353,
2833987000,24000,2833987000,24000,,,,82258.9191133,82258.9543992821,2p,2P*,1/2,2s,2S,1/2,,,L6644,
4260000000,40000000,4288000000,7000000,,,,105291.62867,105291.651993,5p,2P*,1/2,5d,2D,3/2,,,L1164,
4270430000,70000,4269850000,70000,,,,105291.62867,105291.65209,5p,2P*,1/2,5p,2P*,3/2,UT,,L15291c34,
4820000000,90000000,4728130000,160000,,,,[105291.63094],105291.65209,5s,2S,1/2,5p,2P*,3/2,,,L1164,
6562000000,3000000,6563000000,3000000,,,,102823.894250,102823.9094871,4d,2D,3/2,4d,2D,5/2,UT,,L15291c35,
6563000000,23000000,6562000000,22000000,,,,102823.894250,102823.90949,4d,2D,3/2,4f,2F*,5/2,,,L1164,
6579000000,23000000,6592100000,400000,,,,102823.8943175,102823.9094871,4p,2P*,3/2,4d,2D,5/2,,,L1164,
7379310000,150000,7379310000,160000,,,,[106632.1485242],[106632.1620756],6p,2P*,1/2,6p,2P*,3/2,UT,,L15291c34,
9522700000,1500000,9522900000,1500000,,,,97492.211200,97492.221701,3p,2P*,1/2,3s,2S,1/2,,,L1764,
11718060000,230000,11723330000,230000,,,,[107440.43850],[107440.44703],7p,2P*,1/2,7p,2P*,3/2,UT,,L15291c34,
12816000000,4000000,12816000000,5000000,,,,105291.651993,[105291.659796],5d,2D,3/2,5d,2D,5/2,UT,,L15291c35,
12920000000,170000000,12980000000,70000000,,,,105291.65209,[105291.659796],5p,2P*,3/2,5d,2D,5/2,,,L1164,
13149000000,23000000,13151000000,22000000,,,,102823.9094871,102823.917091,4d,2D,5/2,4f,2F*,7/2,,,L1164,
17491700000,400000,17491700000,400000,,,,[107965.0491583],[107965.0548753],8p,2P*,1/2,8p,2P*,3/2,UT,,L15291c34,
22143000000,7000000,22143000000,6000000,,,,[106632.1620536],106632.1665697,6d,2D,3/2,6d,2D,5/2,UT,,L15291c35,
22510000000,100000000,22530000000,3000000,,,,102823.8485825,102823.8530211,4p,2P*,1/2,4s,2S,1/2,,,L1164,
24905100000,600000,24875600000,600000,,,,[108324.72016],[108324.72418],9p,2P*,1/2,9p,2P*,3/2,UT,,L15291c34,
25600000000,300000000,25600000000,300000000,,,,[105291.659796],105291.66370,5d,2D,5/2,5f,2F*,7/2,,,L1164,
34163400000,800000,34129700000,800000,,,,[108581.99051],[108581.99344],10p,2P*,1/2,10p,2P*,3/2,UT,,L15291c34,
35158000000,8000000,35162000000,9000000,,,,[107440.447022],[107440.449866],7d,2D,3/2,7d,2D,5/2,UT,,L15291c35,
43957000000,12000000,44053000000,12000000,,,,105291.62867,[105291.63094],5p,2P*,1/2,5s,2S,1/2,,,L15291c33,
45471500000,1100000,45454500000,1000000,,,,[108772.34135],[108772.34355],11p,2P*,1/2,11p,2P*,3/2,UT,,L15291c34,
,,52473000000,8000000,,,,107965.0548660,107965.05677174,8d,2D,3/2,8d,2D,5/2,UT,,,
59034500000,1400000,59171600000,1400000,,,,[108917.11870],[108917.12039],12p,2P*,1/2,12p,2P*,3/2,UT,,L15291c34,
74703000000,20000000,74683000000,22000000,,,,[108324.724162],[108324.725501],9d,2D,3/2,9d,2D,5/2,UT,,L15291c35,
75910000000,40000000,75910000000,50000000,,,,[106632.1485242],106632.1498416,6p,2P*,1/2,6s,2S,1/2,,,L15291c33,
102470000000,50000000,102470000000,40000000,,,,[108581.9934250],108581.9944009,10d,2D,3/2,10d,2D,5/2,UT,,L15291c35,
120490000000,100000000,120480000000,100000000,,,,[107440.43850],[107440.43933],7p,2P*,1/2,7s,2S,1/2,,,L15291c33,
136370000000,90000000,136240000000,90000000,,,,[108772.343536],[108772.344270],11d,2D,3/2,11d,2D,5/2,UT,,L15291c35,
,,177080000000,130000000,,,,108917.1203787,108917.12094342,12d,2D,3/2,12d,2D,5/2,UT,,,
179800000000,200000000,179790000000,160000000,,,,[107965.0491583],107965.0497145,8p,2P*,1/2,8s,2S,1/2,,,L15291c33,
255900000000,300000000,256400000000,300000000,,,,[108324.72016],[108324.72055],9p,2P*,1/2,9s,2S,1/2,,,L15291c33,
351000000000,500000000,344800000000,500000000,,,,[108581.99051],[108581.99080],10p,2P*,1/2,10s,2S,1/2,,,L15291c33,
467100000000,700000000,454500000000,600000000,,,,[108772.34135],[108772.34157],11p,2P*,1/2,11s,2S,1/2,,,L15291c33,
550000000000,90000000000,560000000000,60000000000,,,,97492.319433,97492.319611,3d,2D,3/2,3p,2P*,3/2,,,L4386,
606400000000,900000000,625000000000,900000000,,,,[108917.11870],[108917.11886],12p,2P*,1/2,12s,2S,1/2,,,L15291c33,
